Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,LSRAM 18K,Math (18x18),PLLs and CCCs,Chip Globals,MSS,10/100/1000 Ethernet,HS USB,Multi-Mode UART,RCOSC_50MHZ
CoreAHBLite_C0_0/CoreAHBLite_C0_0/matrix4x16/masterstage_0/Primitives,72,26,0,0,0,0,0,0,0,0,0,0,0,0
CoreAHBLite_C0_0/CoreAHBLite_C0_0/matrix4x16/masterstage_0/default_slave_sm/Primitives,5,1,0,0,0,0,0,0,0,0,0,0,0,0
CoreAHBLite_C0_0/CoreAHBLite_C0_0/matrix4x16/slavestage_0/Primitives,20,1,0,0,0,0,0,0,0,0,0,0,0,0
CoreAHBLite_C0_0/CoreAHBLite_C0_0/matrix4x16/slavestage_0/slave_arbiter/Primitives,6,3,0,0,0,0,0,0,0,0,0,0,0,0
CoreAHBLite_C0_0/CoreAHBLite_C0_0/matrix4x16/slavestage_1/Primitives,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CoreAHBLite_C0_0/CoreAHBLite_C0_0/matrix4x16/slavestage_1/slave_arbiter/Primitives,2,2,0,0,0,0,0,0,0,0,0,0,0,0
FFT_AHB_Wrapper_0/Alpha_Max_plus_Beta_Min_0/HARD_MULT_ADDSUB_C1_0/HARD_MULT_ADDSUB_C1_0/U0/Primitives,0,0,36,36,0,0,1,0,0,0,0,0,0,0
FFT_AHB_Wrapper_0/Alpha_Max_plus_Beta_Min_0/Primitives,94,67,0,0,0,0,0,0,0,0,0,0,0,0
FFT_AHB_Wrapper_0/FFT_Core/DPSRAM_0/DPSRAM_C0_0/Primitives,0,0,36,36,0,1,0,0,0,0,0,0,0,0
FFT_AHB_Wrapper_0/FFT_Core/DPSRAM_1/DPSRAM_C0_0/Primitives,0,0,36,36,0,1,0,0,0,0,0,0,0,0
FFT_AHB_Wrapper_0/FFT_Core/FFT_Sample_Loader_0/Primitives,55,45,0,0,0,0,0,0,0,0,0,0,0,0
FFT_AHB_Wrapper_0/FFT_Core/FFT_Sample_Outputer_0/Primitives,21,0,0,0,0,0,0,0,0,0,0,0,0,0
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/HARD_MULT_ADDSUB_C0_0/HARD_MULT_ADDSUB_C0_0/U0/Primitives,0,0,36,36,0,0,1,0,0,0,0,0,0,0
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/HARD_MULT_ADDSUB_C0_1/HARD_MULT_ADDSUB_C0_0/U0/Primitives,0,0,36,36,0,0,1,0,0,0,0,0,0,0
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/Primitives,131,255,0,0,0,0,0,0,0,0,0,0,0,0
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Primitives,353,200,0,0,0,0,0,0,0,0,0,0,0,0
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/Primitives,401,0,0,0,0,0,0,0,0,0,0,0,0,0
FFT_AHB_Wrapper_0/FFT_Core/Primitives,281,32,0,0,0,0,0,0,0,0,0,0,0,0
FFT_AHB_Wrapper_0/Primitives,36,125,0,0,0,0,0,0,0,0,0,0,0,0
FFT_Accel_system_sb_0/CCC_0/Primitives,0,0,0,0,0,0,0,1,2,0,0,0,0,0
FFT_Accel_system_sb_0/CORERESETP_0/Primitives,2,10,0,0,0,0,0,0,1,0,0,0,0,0
FFT_Accel_system_sb_0/FABOSC_0/Primitives,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/Primitives,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Primitives/Primitives,1,0,0,0,44,0,0,0,0,0,0,0,0,0
