pin,slack
FFT_AHB_Wrapper_0/FFT_Core/p_AHB_Reg_Read.HRDATA_sig_11_sn_m4:A,-1369
FFT_AHB_Wrapper_0/FFT_Core/p_AHB_Reg_Read.HRDATA_sig_11_sn_m4:B,-1385
FFT_AHB_Wrapper_0/FFT_Core/p_AHB_Reg_Read.HRDATA_sig_11_sn_m4:Y,-1385
FFT_AHB_Wrapper_0/FFT_Core/un2_mag_result_corrected_6:A,5285
FFT_AHB_Wrapper_0/FFT_Core/un2_mag_result_corrected_6:B,5229
FFT_AHB_Wrapper_0/FFT_Core/un2_mag_result_corrected_6:C,5141
FFT_AHB_Wrapper_0/FFT_Core/un2_mag_result_corrected_6:D,5031
FFT_AHB_Wrapper_0/FFT_Core/un2_mag_result_corrected_6:Y,5031
CoreAHBLite_C0_0/CoreAHBLite_C0_0/matrix4x16/masterstage_0/un1_hready_m_xhdl340_1_0_a2_0_1:A,-1000
CoreAHBLite_C0_0/CoreAHBLite_C0_0/matrix4x16/masterstage_0/un1_hready_m_xhdl340_1_0_a2_0_1:B,-1092
CoreAHBLite_C0_0/CoreAHBLite_C0_0/matrix4x16/masterstage_0/un1_hready_m_xhdl340_1_0_a2_0_1:Y,-1092
FFT_Accel_system_sb_0/FABOSC_0/I_RCOSC_25_50MHZ/U0:CLKOUT,
FFT_AHB_Wrapper_0/FFT_Core/p_ram_hot_potato.un4_ram_dist_state:A,4870
FFT_AHB_Wrapper_0/FFT_Core/p_ram_hot_potato.un4_ram_dist_state:B,2502
FFT_AHB_Wrapper_0/FFT_Core/p_ram_hot_potato.un4_ram_dist_state:C,4900
FFT_AHB_Wrapper_0/FFT_Core/p_ram_hot_potato.un4_ram_dist_state:D,4792
FFT_AHB_Wrapper_0/FFT_Core/p_ram_hot_potato.un4_ram_dist_state:Y,2502
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_pipe_pusher.sampleA_adr_pipe_1[1]:ADn,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_pipe_pusher.sampleA_adr_pipe_1[1]:ALn,6786
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_pipe_pusher.sampleA_adr_pipe_1[1]:CLK,8668
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_pipe_pusher.sampleA_adr_pipe_1[1]:D,8668
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_pipe_pusher.sampleA_adr_pipe_1[1]:EN,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_pipe_pusher.sampleA_adr_pipe_1[1]:LAT,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_pipe_pusher.sampleA_adr_pipe_1[1]:Q,8668
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_pipe_pusher.sampleA_adr_pipe_1[1]:SD,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_pipe_pusher.sampleA_adr_pipe_1[1]:SLn,5865
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_185:A,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_185:B,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_185:C,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_185:IPA,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_185:IPB,
GMII_TXD_obuf[4]/U0/U_IOOUTFF:A,
GMII_TXD_obuf[4]/U0/U_IOOUTFF:Y,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_pipe_pusher.un8_samplea_adr_7_0_a2_0:A,3873
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_pipe_pusher.un8_samplea_adr_7_0_a2_0:B,3621
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_pipe_pusher.un8_samplea_adr_7_0_a2_0:C,3797
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_pipe_pusher.un8_samplea_adr_7_0_a2_0:D,3671
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_pipe_pusher.un8_samplea_adr_7_0_a2_0:Y,3621
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_MACC_buf.bf0_real_a_in_2_0_i_m2_bm[5]:A,6048
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_MACC_buf.bf0_real_a_in_2_0_i_m2_bm[5]:B,4644
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_MACC_buf.bf0_real_a_in_2_0_i_m2_bm[5]:C,3689
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_MACC_buf.bf0_real_a_in_2_0_i_m2_bm[5]:D,3594
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_MACC_buf.bf0_real_a_in_2_0_i_m2_bm[5]:Y,3594
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m134_1:A,1021
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m134_1:B,681
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m134_1:C,1100
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m134_1:Y,681
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/HARD_MULT_ADDSUB_C0_0/HARD_MULT_ADDSUB_C0_0/U0/U0/FF_11:CLK,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/HARD_MULT_ADDSUB_C0_0/HARD_MULT_ADDSUB_C0_0/U0/U0/FF_11:EN,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/HARD_MULT_ADDSUB_C0_0/HARD_MULT_ADDSUB_C0_0/U0/U0/FF_11:IPCLKn,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/HARD_MULT_ADDSUB_C0_0/HARD_MULT_ADDSUB_C0_0/U0/U0/FF_11:IPENn,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m91_1_1_wmux_0:A,-163
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m91_1_1_wmux_0:B,5023
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m91_1_1_wmux_0:C,2179
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m91_1_1_wmux_0:D,824
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m91_1_1_wmux_0:FCI,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m91_1_1_wmux_0:Y,-163
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m374_1_0:A,1000
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m374_1_0:B,812
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m374_1_0:C,637
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m374_1_0:D,-504
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m374_1_0:Y,-504
