
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. FFT_APB_Wrapper, 662, 1080, 399, 0, 3, 2, 0, 3, 36
.	. Alpha_Max_plus_Beta_Min, 67, 40, 52, 0, 1, 0, 0, 0, 0
.	.	. HARD_MULT_ADDSUB_C1, 0, 0, 0, 0, 1, 0, 0, 0, 0
.	.	.	. HARD_MULT_ADDSUB_C1_HARD_MULT_ADDSUB_C1_0_HARD_MULT_ADDSUB, 0, 0, 0, 0, 1, 0, 0, 0, 0
.	. FFT, 542, 1030, 347, 0, 2, 2, 0, 0, 0
.	.	. DPSRAM_C0, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. DPSRAM_C0_DPSRAM_C0_0_DPSRAM, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	. DPSRAM_C0_0, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. DPSRAM_C0_DPSRAM_C0_0_DPSRAM_0, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	. FFT_Sample_Loader, 26, 74, 22, 0, 0, 0, 0, 0, 0
.	.	. FFT_Sample_Outputer, 20, 25, 0, 0, 0, 0, 0, 0, 0
.	.	. FFT_Transformer, 465, 662, 285, 0, 2, 0, 0, 0, 0
.	.	.	. FFT_Butterfly_HW_MATHDSP, 255, 3, 124, 0, 2, 0, 0, 0, 0
.	.	.	.	. HARD_MULT_ADDSUB_C0_0, 0, 0, 0, 0, 1, 0, 0, 0, 0
.	.	.	.	.	. HARD_MULT_ADDSUB_C0_HARD_MULT_ADDSUB_C0_0_HARD_MULT_ADDSUB_1, 0, 0, 0, 0, 1, 0, 0, 0, 0
.	.	.	.	. HARD_MULT_ADDSUB_C0_1, 0, 0, 0, 0, 1, 0, 0, 0, 0
.	.	.	.	.	. HARD_MULT_ADDSUB_C0_HARD_MULT_ADDSUB_C0_0_HARD_MULT_ADDSUB_0, 0, 0, 0, 0, 1, 0, 0, 0, 0
.	.	.	. Twiddle_table, 17, 457, 84, 0, 0, 0, 0, 0, 0
