
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. FFT_Accel_system, 794, 1115, 361, 0, 3, 2, 0, 3, 44
.	. CoreAHBLite_C0, 42, 114, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBLite_C0_CoreAHBLite_C0_0_CoreAHBLite, 42, 114, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MATRIX4X16, 42, 114, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_MASTERSTAGE_6_1_0_1_0, 27, 77, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0, 1, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVESTAGE_1, 15, 37, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_SLAVEARBITER_0, 11, 16, 0, 0, 0, 0, 0, 0, 0
.	. FFT_AHB_Wrapper, 743, 998, 361, 0, 3, 2, 0, 0, 0
.	.	. Alpha_Max_plus_Beta_Min, 67, 40, 52, 0, 1, 0, 0, 0, 0
.	.	.	. HARD_MULT_ADDSUB_C1, 0, 0, 0, 0, 1, 0, 0, 0, 0
.	.	.	.	. HARD_MULT_ADDSUB_C1_HARD_MULT_ADDSUB_C1_0_HARD_MULT_ADDSUB, 0, 0, 0, 0, 1, 0, 0, 0, 0
.	.	. FFT, 551, 897, 309, 0, 2, 2, 0, 0, 0
.	.	.	. DPSRAM_C0, 0, 3, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	. DPSRAM_C0_DPSRAM_C0_0_DPSRAM, 0, 3, 0, 0, 0, 1, 0, 0, 0
.	.	.	. DPSRAM_C0_0, 0, 3, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	. DPSRAM_C0_DPSRAM_C0_0_DPSRAM_0, 0, 3, 0, 0, 0, 1, 0, 0, 0
.	.	.	. FFT_Sample_Loader, 45, 46, 22, 0, 0, 0, 0, 0, 0
.	.	.	. FFT_Sample_Outputer, 0, 20, 0, 0, 0, 0, 0, 0, 0
.	.	.	. FFT_Transformer, 474, 540, 259, 0, 2, 0, 0, 0, 0
.	.	.	.	. FFT_Butterfly_HW_MATHDSP, 255, 3, 124, 0, 2, 0, 0, 0, 0
.	.	.	.	.	. HARD_MULT_ADDSUB_C0_0, 0, 0, 0, 0, 1, 0, 0, 0, 0
.	.	.	.	.	.	. HARD_MULT_ADDSUB_C0_HARD_MULT_ADDSUB_C0_0_HARD_MULT_ADDSUB_1, 0, 0, 0, 0, 1, 0, 0, 0, 0
.	.	.	.	.	. HARD_MULT_ADDSUB_C0_1, 0, 0, 0, 0, 1, 0, 0, 0, 0
.	.	.	.	.	.	. HARD_MULT_ADDSUB_C0_HARD_MULT_ADDSUB_C0_0_HARD_MULT_ADDSUB_0, 0, 0, 0, 0, 1, 0, 0, 0, 0
.	.	.	.	. Twiddle_table, 17, 324, 58, 0, 0, 0, 0, 0, 0
.	. FFT_Accel_system_sb, 9, 3, 0, 0, 0, 0, 0, 3, 0
.	.	. CoreResetP, 9, 2, 0, 0, 0, 0, 0, 1, 0
.	.	. FFT_Accel_system_sb_CCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 2, 0
.	.	. FFT_Accel_system_sb_FABOSC_0_OSC, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. FFT_Accel_system_sb_MSS, 0, 1, 0, 0, 0, 0, 0, 0, 0
