Library, Design Unit, compile Time, Peak Mem Usage
coreahblite_lib, Entity: COREAHBLITE_ADDRDEC_5_1_3_0 Architecture: coreahblite_addrdec_arch, 0h:00m:00s,    224 MB
coreahblite_lib, Entity: COREAHBLITE_MASTERSTAGE_5_1_0_3_0 Architecture: coreahblite_masterstage_arch, 0h:00m:00s,    227 MB
coreahblite_lib, Entity: COREAHBLITE_ADDRDEC_5_1_0_0 Architecture: coreahblite_addrdec_arch, 0h:00m:00s,    227 MB
coreahblite_lib, Entity: COREAHBLITE_DEFAULTSLAVESM Architecture: coreahblite_defaultslavesm_arch, 0h:00m:00s,    227 MB
coreahblite_lib, Entity: COREAHBLITE_MASTERSTAGE_5_1_0_0_0 Architecture: coreahblite_masterstage_arch, 0h:00m:00s,    230 MB
coreahblite_lib, Entity: COREAHBLITE_SLAVEARBITER Architecture: coreahblite_slavearbiter_arch, 0h:00m:00s,    230 MB
coreahblite_lib, Entity: COREAHBLITE_SLAVESTAGE Architecture: trans, 0h:00m:00s,    230 MB
coreahblite_lib, Entity: COREAHBLITE_MATRIX4X16 Architecture: coreahblite_matrix4x16_arch, 0h:00m:00s,    230 MB
coreahblite_lib, Entity: CoreAHBLite_C0_CoreAHBLite_C0_0_CoreAHBLite Architecture: coreahblite_arch, 0h:00m:00s,    230 MB
work, Entity: CoreAHBLite_C0 Architecture: rtl, 0h:00m:00s,    230 MB
smartfusion2, Entity: CCC Architecture: syn_black_box, 0h:00m:00s,    230 MB
work, Entity: FFT_Accel_system_sb_CCC_0_FCCC Architecture: def_arch, 0h:00m:00s,    230 MB
work, Entity: CoreResetP Architecture: rtl, 0h:00m:00s,    230 MB
work, Entity: RCOSC_25_50MHZ_FAB Architecture: def_arch, 0h:00m:00s,    230 MB
work, Entity: RCOSC_25_50MHZ Architecture: def_arch, 0h:00m:00s,    230 MB
smartfusion2, Entity: CLKINT Architecture: syn_black_box, 0h:00m:00s,    230 MB
work, Entity: FFT_Accel_system_sb_FABOSC_0_OSC Architecture: def_arch, 0h:00m:00s,    230 MB
work, Entity: MSS_010 Architecture: def_arch, 0h:00m:00s,    230 MB
work, Entity: FFT_Accel_system_sb_MSS Architecture: rtl, 0h:00m:00s,    230 MB
smartfusion2, Entity: SYSRESET Architecture: syn_black_box, 0h:00m:00s,    230 MB
work, Entity: FFT_Accel_system_sb Architecture: rtl, 0h:00m:00s,    230 MB
work, Entity: FFT_Sample_Loader Architecture: architecture_fft_sample_loader, 0h:00m:00s,    230 MB
work, Entity: FFT_Sample_Outputer Architecture: architecture_fft_sample_outputer, 0h:00m:00s,    230 MB
work, Entity: Twiddle_table Architecture: architecture_twiddle_table, 0h:00m:00s,    230 MB
work, Entity: HARD_MULT_ADDSUB_C0_HARD_MULT_ADDSUB_C0_0_HARD_MULT_ADDSUB Architecture: def_arch, 0h:00m:00s,    230 MB
work, Entity: HARD_MULT_ADDSUB_C0 Architecture: rtl, 0h:00m:00s,    230 MB
work, Entity: FFT_Butterfly_HW_MATHDSP Architecture: architecture_fft_butterfly_hw_mathdsp, 0h:00m:00s,    234 MB
work, Entity: FFT_Transformer Architecture: architecture_fft_transformer, 0h:00m:00s,    237 MB
smartfusion2, Entity: RAM1K18 Architecture: syn_black_box, 0h:00m:00s,    237 MB
work, Entity: DPSRAM_C0_DPSRAM_C0_0_DPSRAM Architecture: def_arch, 0h:00m:00s,    237 MB
work, Entity: DPSRAM_C0 Architecture: rtl, 0h:00m:00s,    237 MB
work, Entity: FFT Architecture: architecture_fft, 0h:00m:00s,    237 MB
smartfusion2, Entity: MACC Architecture: syn_black_box, 0h:00m:00s,    237 MB
smartfusion2, Entity: GND Architecture: syn_black_box, 0h:00m:00s,    237 MB
smartfusion2, Entity: VCC Architecture: syn_black_box, 0h:00m:00s,    237 MB
work, Entity: HARD_MULT_ADDSUB_C1_HARD_MULT_ADDSUB_C1_0_HARD_MULT_ADDSUB Architecture: def_arch, 0h:00m:00s,    237 MB
work, Entity: HARD_MULT_ADDSUB_C1 Architecture: rtl, 0h:00m:00s,    237 MB
work, Entity: Alpha_Max_plus_Beta_Min Architecture: architecture_alpha_max_plus_beta_min, 0h:00m:00s,    237 MB
work, Entity: FFT_AHB_Wrapper Architecture: architecture_fft_ahb_wrapper, 0h:00m:00s,    237 MB
work, Entity: LED_inverter_dimmer Architecture: architecture_led_inverter_dimmer, 0h:00m:00s,    237 MB
work, Entity: MSS_to_IO_interpreter Architecture: architecture_mss_to_io_interpreter, 0h:00m:00s,    237 MB
work, Entity: FFT_Accel_system Architecture: rtl, 0h:00m:00s,    237 MB
